stat,X11,X12,X13,band_offset_db_1,band_offset_db_2,band_offset_db_3,band_offset_db_4,bias,comp,compress_ratio,compress_ratio_high,df,env_overrun_max,env_overrun_mean,env_overrun_rate,freq_shift_score,gain,global_offset_db,high_low_energy_ratio,nonswitch_step_max,nonswitch_step_ratio,offset_db,offset_slope,res_slope,ripple_hp,ripple_var,shape_rmse,step_score,switch_step_err_max,switch_step_err_ratio,tail_asym,viol_energy_aligned,viol_rate,viol_rate_aligned
count,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
mean,0.0011432926829268292,0.0019314217119944799,0.0126306781785816,-0.00023437499999989786,-0.0007031250000000822,2.7755575615628914e-16,0.0004687500000002953,-0.041288531009617754,0.24193548518545369,0.1548971036585366,0.1454449152542373,-86093750.0,0.0019314217119944799,1.5403266071440977e-05,0.0011432926829268292,0.0666477415868317,0.9958470094230125,1.3877787807814457e-17,0.35918206089001337,0.03740781249999994,0.0,1.3877787807814457e-17,0.000272946571194225,2.729465711942246e-13,0.005519378660492314,0.00010617631052305449,0.011761630272094682,0.0,0.0,0.0,-0.00023632812499978017,0.0126306781785816,0.0011432926829268292,0.0011432926829268292
std,0.007791664555335666,0.007738497453737769,0.07619349057834768,0.028165535163240683,0.011336473217010456,0.006334742950898968,0.010178223330165386,1.521779185583177,1.9539413644347758,0.04285347938857932,0.0499762828890515,688750000.0,0.007738497453737769,9.29188909492045e-05,0.007791664555335666,0.11622015572876669,0.15319858751664753,1.1102230246251565e-16,0.3732902829496073,0.007880452099823989,0.0,1.1102230246251565e-16,0.004401146108841132,4.401146108841127e-12,0.0004180239879561561,0.00011184851175828,0.00890149889223094,0.0,0.0,0.0,0.007074192883580421,0.07619349057834768,0.007791664555335666,0.007791664555335666
min,0.0,0.0,0.0,-0.1387500000000017,-0.07875000000000121,-0.012500000000000178,-0.009999999999999787,-7.288436110664992,-3.0120371839396967,0.03170731707317073,0.006779661016949152,-5510000000.0,0.0,0.0,0.0,0.00888769656209476,0.26632601880232537,0.0,0.018479227310139484,0.024799999999999045,0.0,0.0,-0.0065086899078758455,-6.508689907875845e-12,0.004842584202311634,1.9961752477132505e-05,0.004405166036016707,0.0,0.0,0.0,-0.032374999999999,0.0,0.0,0.0
max,0.06219512195121951,0.041208629800065566,0.6011903570046844,0.05249999999999844,0.017499999999998295,0.010000000000001563,0.07124999999999915,2.3650787422777078,12.749841209660644,0.19878048780487806,0.2,0.0,0.041208629800065566,0.0007331589719569322,0.06219512195121951,0.9132219223849934,1.2382821253153342,8.881784197001252e-16,2.012760286867092,0.0838000000000001,0.0,8.881784197001252e-16,0.031108630731339595,3.1108630731339564e-11,0.007011531072472352,0.0005225704293064031,0.07463585378845566,0.0,0.0,0.0,0.019999999999997888,0.6011903570046844,0.06219512195121951,0.06219512195121951
p05,0.0,0.0,0.0,-0.02999999999999936,-0.00999999999999801,-0.00999999999999952,-0.00999999999999801,-1.8872891430179173,-1.9053713359026503,0.07274390243902439,0.055254237288135596,0.0,0.0,0.0,0.0,0.015952364221451864,0.8100476663098387,0.0,0.035510909941620275,0.028657499999999204,0.0,0.0,-0.003966415628873593,-3.966415628873592e-12,0.005010965354333316,2.97262011814001e-05,0.005808556480780943,0.0,0.0,0.0,-0.009999999999995967,0.0,0.0,0.0
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09193731159989818,0.08120375122524615,0.16158536585365854,0.15932203389830507,0.0,0.0,0.0,0.0,0.038536367391800996,0.9906790781771464,0.0,0.23553668089333135,0.03687500000000021,0.0,0.0,0.00020726478496601778,2.0726478496601772e-13,0.00545882514258285,6.224937595274171e-05,0.010091337848806487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p95,0.003109756097560955,0.01909947797888161,0.04878236315361975,0.03356250000000042,0.00999999999999952,0.010000000000001296,0.005000000000002558,2.157384954342044,1.6645966781017345,0.1975609756097561,0.19661016949152543,0.0,0.01909947797888161,5.949068677270701e-05,0.003109756097560955,0.17059827247013162,1.217067770323137,0.0,1.1049937216301478,0.046879999999999096,0.0,0.0,0.0027425288534584473,2.7425288534584455e-12,0.006012429631820083,0.0004313757943216459,0.019657901425585534,0.0,0.0,0.0,0.009999999999994458,0.04878236315361975,0.003109756097560955,0.003109756097560955
p99,0.025317073170731556,0.035698512322670406,0.2711967718408853,0.050924999999999304,0.012775000000000335,0.010000000000001563,0.03266249999999939,2.3487153252243074,6.543052067756001,0.19878048780487806,0.2,0.0,0.035698512322670406,0.00033072777053766504,0.025317073170731556,0.4756156234659101,1.2366301253378755,3.2862601528904406e-16,1.6508992670495135,0.06382900000000068,0.0,3.2862601528904406e-16,0.013421140300733892,1.3421140300733879e-11,0.0069812572501467786,0.0005029673224161542,0.041960614270348515,0.0,0.0,0.0,0.013699999999996878,0.2711967718408853,0.025317073170731556,0.025317073170731556
mad,0.0,0.0,0.0,0.019999999999999574,0.0024999999999995026,0.004999999999999005,0.002500000000000391,0.9860050423933673,0.8649715039917754,0.0274390243902439,0.03389830508474578,0.0,0.0,0.0,0.0,0.0146994512125585,0.09922960065298125,0.0,0.12547655396040513,0.0035250000000015547,0.0,0.0,0.001331325161573835,1.3313251615738334e-12,0.00021534523002192602,2.8657435975609052e-05,0.002555862464906904,0.0,0.0,0.0,0.0037499999999992635,0.0,0.0,0.0
